id,label
0,0
1,9
2,7
3,2
4,3
5,4
6,2
7,3
8,4
9,6
10,2
11,2
12,3
13,0
14,1
15,0
16,2
17,7
18,1
19,4
20,5
21,0
22,7
23,4
24,6
25,5
26,8
27,2
28,1
29,7
30,1
31,5
32,0
33,5
34,3
35,8
36,5
37,7
38,8
39,6
40,5
41,5
42,5
43,4
44,7
45,3
46,3
47,5
48,3
49,9
50,5
51,5
52,6
53,6
54,0
55,7
56,3
57,0
58,6
59,7
60,6
61,2
62,5
63,9
64,2
65,6
66,5
67,8
68,7
69,4
70,1
71,5
72,0
73,4
74,9
75,2
76,9
77,2
78,5
79,3
80,7
81,9
82,2
83,4
84,7
85,7
86,9
87,4
88,0
89,6
90,3
91,2
92,7
93,7
94,5
95,7
96,1
97,4
98,6
99,5
100,2
101,6
102,6
103,7
104,7
105,5
106,6
107,5
108,2
109,6
110,6
111,8
112,2
113,6
114,0
115,7
116,4
117,8
118,4
119,4
120,5
121,8
122,4
123,3
124,4
125,9
126,1
127,1
128,8
129,6
130,0
131,2
132,6
133,7
134,6
135,3
136,3
137,9
138,3
139,3
140,7
141,0
142,5
143,5
144,5
145,2
146,4
147,6
148,8
149,6
150,2
151,9
152,2
153,8
154,2
155,7
156,4
157,0
158,0
159,4
160,2
161,5
162,6
163,4
164,2
165,0
166,3
167,2
168,5
169,9
170,7
171,7
172,2
173,2
174,3
175,0
176,4
177,6
178,1
179,9
180,8
181,5
182,4
183,4
184,4
185,5
186,5
187,8
188,4
189,2
190,7
191,5
192,4
193,4
194,7
195,5
196,6
197,9
198,0
199,4
200,5
201,2
202,9
203,0
204,2
205,1
206,7
207,8
208,4
209,4
210,4
211,2
212,6
213,2
214,2
215,5
216,6
217,4
218,5
219,0
220,8
221,0
222,5
223,8
224,4
225,1
226,2
227,9
228,2
229,3
230,2
231,4
232,3
233,4
234,4
235,4
236,5
237,0
238,2
239,6
240,7
241,4
242,4
243,2
244,5
245,8
246,1
247,8
248,0
249,7
250,6
251,2
252,7
253,5
254,4
255,3
256,0
257,3
258,1
259,7
260,7
261,5
262,0
263,0
264,2
265,7
266,5
267,0
268,8
269,2
270,0
271,4
272,2
273,2
274,4
275,1
276,0
277,8
278,2
279,3
280,8
281,9
282,3
283,0
284,9
285,7
286,1
287,6
288,5
289,8
290,9
291,2
292,0
293,2
294,9
295,0
296,1
297,2
298,1
299,7
300,4
301,2
302,8
303,4
304,3
305,4
306,3
307,7
308,5
309,4
310,7
311,8
312,5
313,1
314,6
315,4
316,9
317,1
318,9
319,4
320,6
321,5
322,7
323,6
324,8
325,5
326,4
327,0
328,5
329,7
330,7
331,9
332,3
333,6
334,6
335,2
336,3
337,3
338,2
339,1
340,1
341,6
342,2
343,5
344,9
345,9
346,4
347,4
348,7
349,2
350,6
351,4
352,7
353,8
354,1
355,8
356,2
357,6
358,4
359,4
360,3
361,6
362,7
363,1
364,6
365,4
366,0
367,5
368,1
369,2
370,5
371,0
372,4
373,6
374,5
375,3
376,8
377,6
378,4
379,2
380,0
381,0
382,6
383,3
384,8
385,6
386,4
387,9
388,6
389,0
390,5
391,1
392,0
393,7
394,4
395,5
396,5
397,8
398,6
399,0
400,1
401,6
402,8
403,2
404,8
405,9
406,9
407,2
408,5
409,3
410,1
411,1
412,8
413,2
414,0
415,5
416,7
417,9
418,8
419,9
420,3
421,0
422,6
423,7
424,6
425,3
426,5
427,7
428,6
429,2
430,1
431,0
432,2
433,0
434,4
435,9
436,6
437,2
438,1
439,4
440,0
441,7
442,8
443,8
444,0
445,0
446,6
447,1
448,4
449,7
450,4
451,0
452,5
453,4
454,7
455,3
456,0
457,7
458,9
459,0
460,6
461,8
462,4
463,4
464,8
465,7
466,8
467,1
468,4
469,3
470,5
471,3
472,6
473,5
474,3
475,5
476,4
477,0
478,4
479,7
480,5
481,7
482,0
483,5
484,5
485,0
486,6
487,1
488,6
489,6
490,9
491,0
492,7
493,0
494,5
495,3
496,2
497,7
498,0
499,2
500,0
501,0
502,3
503,0
504,3
505,3
506,9
507,7
508,6
509,4
510,2
511,2
512,9
513,6
514,7
515,0
516,7
517,0
518,8
519,5
520,5
521,0
522,1
523,1
524,9
525,2
526,3
527,7
528,2
529,1
530,9
531,4
532,8
533,4
534,1
535,3
536,1
537,4
538,1
539,4
540,8
541,6
542,8
543,4
544,7
545,8
546,4
547,9
548,3
549,0
550,3
551,0
552,8
553,2
554,6
555,4
556,0
557,5
558,5
559,7
560,4
561,5
562,1
563,2
564,6
565,7
566,4
567,2
568,5
569,1
570,5
571,6
572,2
573,3
574,5
575,1
576,8
577,5
578,6
579,3
580,4
581,7
582,0
583,7
584,6
585,5
586,0
587,3
588,5
589,6
590,8
591,5
592,7
593,6
594,5
595,7
596,5
597,4
598,3
599,3
600,4
601,8
602,9
603,3
604,5
605,2
606,0
607,5
608,2
609,7
610,7
611,6
612,0
613,3
614,2
615,1
616,7
617,2
618,0
619,6
620,1
621,2
622,1
623,6
624,6
625,0
626,6
627,5
628,7
629,4
630,0
631,7
632,6
633,5
634,1
635,9
636,4
637,9
638,2
639,4
640,5
641,1
642,0
643,8
644,6
645,5
646,5
647,0
648,8
649,0
650,0
651,3
652,4
653,9
654,7
655,4
656,4
657,7
658,9
659,5
660,8
661,2
662,5
663,0
